id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
379,Jusuf Nurkić,2TM,C,30,51,8.9,7.8,2.3,0.8,0.7,1.5,20.8,15.2,32,0.477,0.664,1.9
380,Royce O'Neale,PHO,SF,31,75,9.1,4.7,2.2,0.9,0.5,2.8,24.5,12.6,22,0.423,0.731,0.9
381,Jahlil Okafor,IND,C,29,1,0,1,1,0,0,0,3,13.8,0,,,0
382,Chuma Okeke,2TM,PF,26,9,5.9,5.2,1.7,0.6,0.4,0.6,21.8,15.3,3,0.5,0.667,0.3
383,Josh Okogie,2TM,SG,26,40,7.1,2.8,0.8,1.2,0.5,1.3,15.6,16.3,7,0.443,0.741,0.8
384,Onyeka Okongwu,ATL,C,24,74,13.4,8.9,2.3,0.9,0.9,7.2,27.9,19,40,0.567,0.759,1.2
385,Isaac Okoro,CLE,SG,24,55,6.1,2.4,1.2,0.6,0.3,2.5,19.1,10.7,22,0.464,0.717,0.4
386,Quincy Olivari,LAL,PG,23,2,1.5,0,0.5,0,0,-0.1,5,-5.2,0,0.2,,0.5
387,Kelly Olynyk,2TM,C,33,44,8.7,4.7,2.9,0.8,0.4,1.7,20.3,14.9,22,0.5,0.769,1.7
388,Kelly Oubre Jr.,PHI,SF,29,60,15.1,6.1,1.8,1.5,0.5,2.6,34.6,13.5,57,0.47,0.751,1.3
389,Chris Paul,SAS,PG,39,82,8.8,3.6,7.4,1.3,0.3,5.7,28,14.7,82,0.427,0.924,1.6
390,Cameron Payne,NYK,PG,30,72,6.9,1.4,2.8,0.5,0.2,2.3,15.1,13.8,5,0.401,0.907,0.7
391,Elfrid Payton,2TM,PG,30,24,3.5,3.3,6.9,1,0.5,-0.6,21.3,8.5,9,0.328,0.571,2.5
392,Gary Payton II,GSW,SG,32,62,6.5,3,1.3,0.8,0.3,3,15,16.2,11,0.574,0.711,0.6
393,Drew Peterson,BOS,PF,25,25,2.2,1.6,0.5,0.2,0.1,0.4,7.4,10.5,1,0.415,0.778,0.3
394,Julian Phillips,CHI,SF,21,79,4.6,2.1,0.5,0.5,0.3,1.9,14.2,10.2,5,0.446,0.789,0.3
395,Jalen Pickett,DEN,SG,25,49,4.1,1.4,2.2,0.4,0.1,1.1,13.6,10.9,4,0.428,0.75,0.5
396,Scotty Pippen Jr.,MEM,PG,24,79,9.9,3.3,4.4,1.3,0.4,4.7,21.3,15.8,21,0.48,0.713,1.7
397,Daeqwon Plowden,ATL,SG,26,6,7.2,1.8,0.3,0,0,0.2,12,16.1,0,0.64,1,0.7
398,Mason Plumlee,PHO,C,34,74,4.5,6.1,1.8,0.4,0.6,3.7,17.6,14.8,21,0.619,0.648,0.8
399,Brandin Podziemski,GSW,SG,21,64,11.7,5.1,3.4,1.1,0.2,4.2,26.8,14.4,33,0.445,0.758,1.2
400,Jakob Poeltl,TOR,C,29,57,14.5,9.6,2.8,1.2,1.2,5.5,29.6,20,56,0.627,0.674,1.9
401,Jordan Poole,WAS,SG,25,68,20.5,3,4.5,1.3,0.4,2,29.4,16.6,68,0.432,0.883,3
402,Craig Porter Jr.,CLE,PG,24,51,3.7,1.3,1.4,0.3,0.3,1.1,10.1,13.1,1,0.514,0.719,0.7
403,Kevin Porter Jr.,2TM,SG,24,75,10.3,3.7,3.4,1.1,0.2,2.2,19.8,15.4,4,0.449,0.769,1.8
404,Michael Porter Jr.,DEN,SF,26,77,18.2,7,2.1,0.6,0.5,6.4,33.7,16.2,77,0.504,0.768,1.4
405,Bobby Portis,MIL,PF,29,49,13.9,8.4,2.1,0.7,0.5,2.7,25.4,17.7,7,0.466,0.836,1.2
406,Kristaps Porziņģis,BOS,C,29,42,19.5,6.8,2.1,0.7,1.5,5.3,28.8,22.3,42,0.483,0.809,1.3
407,Quinten Post,GSW,PF,24,42,8.1,3.5,1.3,0.4,0.4,1.7,16.3,14.2,14,0.449,0.778,0.8
408,Micah Potter,UTA,C,26,38,4.3,4.3,0.8,0.4,0.4,0.4,18.6,8.5,10,0.422,0.85,0.8
409,Dwight Powell,DAL,C,33,55,2.1,2.1,1,0.3,0.4,1.7,10,12.9,3,0.689,0.651,0.3
410,Norman Powell,LAC,SG,31,60,21.8,3.2,2.1,1.2,0.2,5.3,32.6,17.5,60,0.484,0.804,1.8
411,Taurean Prince,MIL,SF,30,80,8.2,3.6,1.9,1,0.2,3.5,27.1,9.8,73,0.457,0.813,1
412,Payton Pritchard,BOS,PG,27,80,14.3,3.8,3.5,0.9,0.2,8.6,28.4,17.6,3,0.472,0.845,1
413,Olivier-Maxence Prosper,DAL,PF,22,52,3.9,2.4,0.8,0.5,0.1,0.9,11.2,12.6,4,0.402,0.645,0.3
414,Zyon Pullin,MEM,SG,23,3,0,0,0,0,0,0,1,-11.7,0,0,,0
415,Trevelin Queen,ORL,SG,27,31,4.9,1.7,1.2,1,0.3,0.7,13.9,11.9,2,0.381,0.857,0.7
416,Neemias Queta,BOS,C,25,62,5,3.8,0.7,0.3,0.7,3.2,13.9,16.3,6,0.65,0.754,0.6
417,Immanuel Quickley,TOR,PG,25,33,17.1,3.5,5.8,0.7,0.1,2.5,27.8,17.5,33,0.42,0.867,1.8
418,Lester Quiñones,2TM,SG,24,13,6.6,1.5,1.8,0.2,0.2,-0.1,14.1,9.5,0,0.397,0.846,1.1
419,Julius Randle,MIN,PF,30,69,18.7,7.1,4.7,0.7,0.2,6.2,32.3,17.5,69,0.485,0.806,2.8
420,Duop Reath,POR,C,28,46,4.2,2,0.6,0.3,0.3,1,10.2,13.7,0,0.422,0.909,0.3
421,Austin Reaves,LAL,SG,26,73,20.2,4.5,5.8,1.1,0.3,7.6,34.9,18.1,73,0.46,0.877,2.4
422,Cam Reddish,LAL,SF,25,33,3.2,2,0.7,1,0.3,0.7,17.8,7.4,8,0.404,0.615,0.4
423,Paul Reed,DET,C,25,45,4.1,2.7,1,0.9,0.6,1.6,9.7,18.6,0,0.507,0.762,0.6
424,Alex Reese,2TM,PF,25,15,5.1,3.1,0.3,0.7,0.7,0.5,14.4,14,0,0.481,0.75,0.4
425,Antonio Reeves,NOP,SG,24,44,6.9,1.4,0.9,0.5,0.1,0.4,15,11.7,6,0.456,0.8,0.7
426,Naz Reid,MIN,C,25,80,14.2,6,2.3,0.7,0.9,5.7,27.5,15.8,17,0.462,0.776,1.4
427,Jared Rhoden,2TM,SG,25,14,8.4,3,1.1,0.7,0.1,0.6,16.2,16.4,2,0.483,0.88,0.6
428,Nick Richards,2TM,C,27,57,9.3,8.2,0.9,0.2,1,3,22,16.6,43,0.591,0.744,1.4
429,Josh Richardson,MIA,SG,31,8,4,1.5,1.5,1,0.1,-0.1,18.8,4.4,0,0.289,1,1
430,Zaccharie Risacher,ATL,SF,19,75,12.6,3.6,1.2,0.7,0.5,1.8,24.6,12.2,73,0.458,0.711,1.2
431,Liam Robbins,MIL,C,25,13,0.7,0.9,0.2,0.2,0.2,-0.1,4.4,2.6,0,0.25,0.5,0.5
432,Duncan Robinson,MIA,SF,30,74,11,2.3,2.4,0.5,0.1,2.7,24.1,11.8,37,0.437,0.887,1.2
433,Mitchell Robinson,NYK,C,26,17,5.1,5.9,0.8,0.9,1.1,1.3,17.1,20.4,3,0.661,0.684,0.6
434,Orlando Robinson,2TM,C,24,44,6.9,5,1.8,0.4,0.4,1.2,17.5,12.9,8,0.444,0.771,1.1
435,Jeremiah Robinson-Earl,NOP,PF,24,66,6.3,4.8,1.3,0.6,0.1,1.7,18.8,12.9,9,0.455,0.836,0.8
436,David Roddy,3TM,PF,23,33,4.6,2.5,1.1,0.4,0.3,0.5,12.4,11.9,3,0.456,0.769,0.7
437,Ryan Rollins,MIL,PG,22,56,6.2,1.9,1.9,0.8,0.3,1.7,14.6,14,19,0.487,0.8,0.9
438,Jackson Rowe,GSW,PF,28,6,3.7,1.8,0.7,0.7,0,0.2,8.7,15.9,0,0.471,0.5,0.2
439,Terry Rozier,MIA,PG,30,64,10.6,3.7,2.6,0.6,0.2,1,25.9,10.5,23,0.391,0.852,1.2
440,Rayan Rupert,POR,SG,20,52,3,1.3,0.5,0.3,0.1,0.1,8.8,8.1,0,0.408,0.767,0.6
441,D'Angelo Russell,2TM,PG,28,58,12.6,2.8,5.1,1,0.4,1.9,25.5,14,36,0.39,0.834,1.9
442,Matt Ryan,NYK,SF,27,19,1.5,0.4,0.2,0.1,0,-0.1,3.6,6.1,0,0.323,1,0.2
443,Domantas Sabonis,SAC,C,28,70,19.1,13.9,6,0.7,0.4,10.1,34.7,22.9,70,0.59,0.754,2.9
444,Tidjane Salaün,CHO,PF,19,60,5.9,4.7,1.2,0.5,0.2,0,20.7,7.7,10,0.33,0.713,1
445,Adama Sanogo,CHI,C,22,4,2,1.5,0.3,0,0,0,5.3,15.2,0,0.571,,0.3
446,Gui Santos,GSW,PF,22,56,4.1,3.1,1.4,0.4,0.2,1.7,13.6,11.7,2,0.458,0.69,0.8
447,Dario Šarić,DEN,C,30,16,3.5,3.1,1.4,0.4,0.1,0,13.1,7.7,4,0.362,0.7,0.9
448,Alex Sarr,WAS,C,19,67,13,6.5,2.4,0.7,1.5,-0.3,27.1,12.9,67,0.394,0.679,1.7
449,Marcus Sasser,DET,PG,24,57,6.6,1.2,2.3,0.6,0.1,1.8,14.2,14,1,0.463,0.843,0.9
450,Baylor Scheierman,BOS,SG,24,31,3.6,2.1,1.1,0.5,0.1,0.7,12.4,10.3,2,0.355,0.75,0.4
451,Dennis Schröder,3TM,PG,31,75,13.1,2.6,5.4,0.9,0.2,3.2,28.1,12.7,49,0.406,0.838,1.9
452,Alperen Şengün,HOU,C,22,76,19.1,10.3,4.9,1.1,0.8,8.3,31.5,21.4,76,0.496,0.692,2.6
453,Brice Sensabaugh,UTA,SF,21,71,10.9,3,1.5,0.6,0.1,1.2,20.2,13.4,15,0.459,0.89,1.5
454,Collin Sexton,UTA,SG,26,63,18.4,2.7,4.2,0.7,0.1,2.4,27.9,16.6,61,0.48,0.865,2.5
455,Landry Shamet,NYK,SG,27,50,5.7,1.2,0.5,0.5,0,1,15.2,9.7,0,0.461,0.667,0.4
456,Terrence Shannon Jr.,MIN,SG,24,32,4.3,1.5,1,0.2,0.2,0.6,10.6,11.9,1,0.482,0.81,0.5
457,Day'Ron Sharpe,BRK,C,23,50,7.9,6.6,1.8,0.8,0.8,2.7,18.1,19.7,2,0.521,0.757,1.3
458,Shaedon Sharpe,POR,SG,21,72,18.5,4.5,2.8,0.9,0.2,3,31.3,14.5,52,0.452,0.785,2.1
459,Jamal Shead,TOR,PG,22,75,7.1,1.5,4.2,0.8,0.1,0.8,19.6,9.9,11,0.405,0.768,1.6
460,Ben Sheppard,IND,SG,23,63,5.3,2.8,1.3,0.6,0.2,2.1,19.5,9.2,9,0.418,0.889,0.3
461,Reed Sheppard,HOU,PG,20,52,4.4,1.5,1.4,0.7,0.3,0.8,12.6,9.7,3,0.351,0.813,0.7
462,Pascal Siakam,IND,PF,30,78,20.2,6.9,3.4,0.9,0.5,7.5,32.7,19.2,78,0.519,0.734,1.4
463,Ben Simmons,2TM,PG,28,51,5,4.7,5.6,0.7,0.5,1.8,22,12.4,24,0.52,0.727,2
464,Anfernee Simons,POR,SG,25,70,19.3,2.7,4.8,0.9,0.1,4.2,32.7,14.9,70,0.426,0.902,2
465,KJ Simpson,CHO,PG,22,36,7.8,3,3.1,0.9,0.2,-0.4,23.4,8.3,15,0.346,0.82,1.6
466,Jaylen Sims,CHO,SG,26,6,7,1,2,0.5,0.2,0.1,18.7,9.8,0,0.429,0.8,1.3
467,Jericho Sims,2TM,C,26,53,1.8,3.7,0.6,0.2,0.4,1.3,11.9,10,5,0.634,0.615,0.6
468,Marcus Smart,2TM,PG,30,34,9,2.1,3.2,1.1,0.3,0.7,20,12.4,7,0.393,0.761,1.6
469,Dru Smith,MIA,SG,27,14,6.2,2.6,1.6,1.5,0.4,0.7,19.1,13.3,1,0.508,0.75,1.2
470,Jabari Smith Jr.,HOU,PF,21,57,12.2,7,1.1,0.4,0.7,4.2,30.1,12.6,39,0.438,0.825,1.1
471,Jalen Smith,CHI,C,24,64,8.2,5.6,1,0.3,0.7,2.9,15,18.7,2,0.466,0.809,0.6
472,Nick Smith Jr.,CHO,SG,20,60,9.9,2.1,2.4,0.3,0.1,-0.5,22.8,8.3,27,0.391,0.935,1.4
473,Tolu Smith,DET,PF,24,1,14,8,0,0,0,0.1,22,19.5,0,0.667,0.667,2
474,Tyler Smith,MIL,PF,20,23,2.9,1.1,0.2,0.1,0.2,0.2,5.3,15.2,0,0.48,0.75,0.3
475,Jeremy Sochan,SAS,PF,21,54,11.4,6.5,2.4,0.8,0.5,2.7,25.3,15.9,23,0.535,0.696,1.6
476,Cam Spencer,MEM,SG,24,25,4.2,1.2,1.4,0.4,0,0.8,10.1,14.2,1,0.415,1,0.2
477,Pat Spencer,GSW,PG,28,39,2.5,1.2,1.2,0.4,0.1,0.3,6.4,12.6,0,0.406,0.733,0.5
478,Jaden Springer,2TM,SG,22,43,2.5,1.3,0.8,0.6,0.1,0.5,8.5,10.7,2,0.389,0.711,0.4
479,Isaiah Stevens,MIA,PG,24,3,0,0.7,0,0.3,0,0,2,0.1,0,0,,0
480,Lamar Stevens,MEM,PF,27,17,4.4,2.2,0.5,0.3,0.2,0.2,9.1,11.5,1,0.46,0.727,0.6
481,Isaiah Stewart,DET,C,23,72,6,5.5,1.7,0.4,1.4,4.3,19.9,14.6,4,0.559,0.759,0.9
482,Julian Strawther,DEN,SG,22,65,9,2.2,1.3,0.6,0.2,1.3,21.3,9.5,4,0.432,0.822,0.9
483,Max Strus,CLE,SF,28,50,9.4,4.3,3.2,0.5,0.2,3.4,25.5,12.6,37,0.442,0.824,1.1
484,Jalen Suggs,ORL,PG,23,35,16.2,4,3.7,1.5,0.9,1.1,28.6,14.4,35,0.41,0.882,2.9
485,Cole Swider,2TM,SF,25,10,5.9,2.7,0.3,0.4,0.2,0,16.9,6.5,0,0.349,0,0.4
486,Jae'Sean Tate,HOU,SF,29,52,3.6,2.3,0.9,0.5,0.1,1.6,11.3,12.3,2,0.473,0.681,0.4
487,Jayson Tatum,BOS,PF,26,72,26.8,8.7,6,1.1,0.5,9.5,36.4,21.7,72,0.452,0.814,2.9
488,Terry Taylor,SAC,PF,25,3,0,0.3,0.7,0,0,0,2,9.8,0,0,,0
489,Garrett Temple,TOR,SG,38,28,1.9,1,1.1,0.6,0.1,0.2,8.1,8.5,0,0.3,0.917,0.4
490,Dalen Terry,CHI,SG,22,73,4.5,1.7,1.3,0.6,0.2,1.1,13.5,9.6,5,0.448,0.71,0.7
491,Daniel Theis,NOP,C,32,38,4.3,4.3,1.6,0.5,0.5,1,16.3,12.1,9,0.473,0.838,0.7
492,Cam Thomas,BRK,SG,23,25,24,3.3,3.8,0.6,0.1,1.2,31.2,18,23,0.438,0.881,2.5
493,Amen Thompson,HOU,SF,22,69,14.1,8.2,3.8,1.4,1.3,8,32.2,18.7,42,0.557,0.684,2
494,Ausar Thompson,DET,SF,22,59,10.1,5.1,2.3,1.7,0.7,3.8,22.5,17.2,48,0.535,0.641,1.4
495,Klay Thompson,DAL,SF,34,72,14,3.4,2,0.7,0.4,1.8,27.3,12.9,72,0.412,0.905,1.2
496,Tristan Thompson,CLE,C,33,40,1.7,3.4,0.6,0.1,0.3,0.4,8.2,9.1,0,0.437,0.233,0.4
497,JT Thor,2TM,PF,22,20,3.6,2.4,0.3,0.4,0.5,0.2,12.5,10,0,0.424,0.682,0.5
498,Matisse Thybulle,POR,SG,27,15,7.5,3.5,1.9,2.2,0.6,0.9,20.8,17,5,0.477,0.467,0.9
499,Xavier Tillman Sr.,BOS,C,26,33,1,1.3,0.2,0.3,0.2,-0.3,7,2.4,2,0.245,0.75,0.4
500,Drew Timme,BRK,PF,24,9,12.1,7.2,2.2,0.4,0.1,0,28.2,11,2,0.441,0.625,1.7
501,Nae'Qwan Tomlin,CLE,PF,24,5,7.2,4.2,0.4,0,0.2,0.1,12.6,14.4,1,0.406,0.727,0.4
502,Jacob Toppin,2TM,SF,24,17,1.4,0.9,0.4,0.1,0,0,4.5,9.2,0,0.409,,0.2
503,Obi Toppin,IND,PF,26,79,10.5,4,1.6,0.6,0.4,4.3,19.6,17.4,4,0.529,0.781,0.9
504,Karl-Anthony Towns,NYK,C,29,72,24.4,12.8,3.1,1,0.7,10.1,35,23.4,72,0.526,0.829,2.7
505,Armel Traoré,LAL,SF,22,9,1.6,1.7,0.1,0.4,0.2,-0.1,7.4,3.5,0,0.316,0.286,0.3
506,Luke Travers,CLE,SG,23,12,1,1.7,0.7,0.1,0.1,-0.1,7.3,1.9,0,0.25,1,0.7
507,Gary Trent Jr.,MIL,SG,26,74,11.1,2.3,1.2,1,0.1,3.3,25.6,11.7,9,0.431,0.848,0.6
508,Oscar Tshiebwe,UTA,C,25,14,7.6,8.7,0.6,0.9,0.1,1,18.2,21,1,0.6,0.742,0.7
509,P.J. Tucker,NYK,SF,39,3,3,2.7,0,0.3,0.3,0.1,19.3,5.5,1,0.429,,0.3
510,Myles Turner,IND,C,28,72,15.6,6.5,1.5,0.8,2,4.7,30.2,16.1,72,0.481,0.773,1.7
511,Hunter Tyson,DEN,PF,24,51,2.6,1.5,0.4,0.2,0.1,0.4,7.8,9,2,0.375,0.75,0.3
512,Jaylon Tyson,CLE,SG,22,47,3.6,2,0.9,0.3,0.1,0.8,9.6,11.1,3,0.43,0.792,0.6
513,Stanley Umude,MIL,SG,25,22,0.7,0.8,0.2,0.1,0.3,-0.2,3.9,3.4,0,0.192,0.5,0.1
514,Jonas Valančiūnas,2TM,C,32,81,10.4,7.7,2,0.5,0.6,4.3,18.8,20.8,21,0.55,0.879,1.5
515,Jarred Vanderbilt,LAL,PF,25,36,4.1,5.1,1.1,1,0.3,1.4,16.1,13.2,2,0.488,0.556,0.8
516,Fred VanVleet,HOU,PG,30,60,14.1,3.7,5.6,1.6,0.4,5.2,35.2,12.8,60,0.378,0.81,1.5
517,Devin Vassell,SAS,SG,24,64,16.3,4,2.9,1.3,0.5,2.2,31,14.2,53,0.443,0.792,1.4
518,Gabe Vincent,LAL,PG,28,72,6.4,1.3,1.4,0.7,0.2,1.3,21.2,7.4,11,0.4,0.714,0.6
519,Nikola Vučević,CHI,C,34,73,18.5,10.1,3.5,0.8,0.7,7.3,31.2,20.3,72,0.53,0.805,1.6
520,Tristan Vukcevic,WAS,C,21,35,9.4,3.7,1.1,0.3,0.7,0.7,14.7,17.8,1,0.496,0.776,1.2
521,Dean Wade,CLE,PF,28,59,5.4,4.2,1.3,0.7,0.3,3,21.2,10.1,30,0.413,0.533,0.4
522,Franz Wagner,ORL,SF,23,60,24.2,5.7,4.7,1.3,0.4,5.6,33.7,20.1,60,0.463,0.871,2.3
523,Moritz Wagner,ORL,C,27,30,12.9,4.9,1.4,0.8,0.4,2,18.8,22.3,1,0.562,0.718,1.6
524,Jabari Walker,POR,SF,22,60,5.2,3.5,0.6,0.6,0.1,2,12.5,15,1,0.515,0.69,0.6
525,Jarace Walker,IND,PF,21,75,6.1,3.1,1.5,0.7,0.3,1.6,15.8,11.9,5,0.472,0.667,1
526,Lonnie Walker IV,PHI,SG,26,20,12.4,3.2,2.5,0.5,0.3,0.3,23.9,13.1,7,0.42,0.8,1.3
527,Cason Wallace,OKC,SG,21,68,8.4,3.4,2.5,1.8,0.5,5.2,27.6,12.3,43,0.474,0.811,0.9
528,Keaton Wallace,ATL,PG,25,31,5.4,1.6,2.6,0.9,0.3,0.4,16.2,10.1,5,0.401,1,1.1
529,Jordan Walsh,BOS,PF,20,52,1.6,1.3,0.4,0.2,0.2,0.4,7.8,6.9,1,0.361,0.583,0.3
530,Ja'Kobe Walter,TOR,SG,20,52,8.6,3.1,1.6,0.8,0.2,1.2,21.2,10.8,18,0.405,0.795,1
531,Kel'el Ware,MIA,C,20,64,9.3,7.4,0.9,0.6,1.1,4.1,22.2,17.4,36,0.554,0.687,0.9
532,P.J. Washington,DAL,PF,26,57,14.7,7.8,2.3,1.1,1.1,2.4,32.2,14,56,0.453,0.722,2.1
533,TyTy Washington Jr.,PHO,PG,23,16,2.2,0.8,1,0.2,0,-0.2,7.4,6.5,0,0.311,0.5,0.2
534,Lindy Waters III,2TM,SG,27,52,4.9,2.1,1,0.5,0.2,1,15,8.8,9,0.369,0.727,0.4
535,Trendon Watford,BRK,PF,24,44,10.2,3.6,2.6,0.6,0.3,0.7,20.8,13,6,0.469,0.762,1.9
536,Anton Watson,NYK,SF,24,9,0.9,0.3,0.2,0.1,0,0,2.4,5.9,0,0.444,,0.2
537,Peyton Watson,DEN,SF,22,68,8.1,3.4,1.4,0.7,1.4,2.5,24.4,11.4,18,0.477,0.693,0.8
538,Jaylen Wells,MEM,SG,21,79,10.4,3.4,1.7,0.6,0.1,3.5,25.9,10.5,74,0.425,0.822,0.9
539,Victor Wembanyama,SAS,C,21,46,24.3,11,3.7,1.1,3.8,3.8,33.2,24.2,46,0.476,0.836,3.2
540,Blake Wesley,SAS,SG,21,58,3.7,1.1,2,0.6,0.1,0.2,11.8,9.9,0,0.435,0.623,0.9
541,Russell Westbrook,DEN,PG,36,75,13.3,4.9,6.1,1.4,0.5,1.9,27.9,14.3,36,0.449,0.661,3.2
542,Phillip Wheeler,PHI,PF,22,5,1.6,1.6,0.4,0.2,0.4,-0.3,8.8,-2.3,0,0.143,1,0.2
543,Coby White,CHI,SG,24,74,20.4,3.7,4.5,0.9,0.2,4.5,33.1,15.5,73,0.453,0.902,2.4
544,Derrick White,BOS,SG,30,76,16.4,4.5,4.8,0.9,1.1,8.5,33.9,16.6,76,0.442,0.839,1.7
545,Cam Whitmore,HOU,SF,20,51,9.4,3,1,0.6,0.3,1.8,16.2,15.5,3,0.444,0.75,0.9
546,Aaron Wiggins,OKC,SG,26,76,12,3.9,1.8,0.8,0.2,5.4,22.9,16.1,26,0.488,0.831,0.9
547,Andrew Wiggins,2TM,SF,29,60,18,4.5,2.6,1,0.8,4,30.7,16.4,60,0.448,0.763,1.7
548,Alondes Williams,DET,SG,25,1,5,0,1,0,0,0,4,53.4,0,1,,0
549,Brandon Williams,DAL,PG,25,33,8.3,1.8,2.3,0.7,0.2,1.3,14.8,18.3,3,0.521,0.833,1.2
550,Cody Williams,UTA,SG,20,50,4.6,2.3,1.2,0.5,0.3,-1.2,21.2,3.7,21,0.323,0.725,0.9
551,Grant Williams,CHO,PF,26,16,10.4,5.1,2.3,1.1,0.8,0.7,29.9,11.5,7,0.439,0.838,1.8
552,Jalen Williams,OKC,SG,23,69,21.6,5.3,5.1,1.6,0.7,7.8,32.4,20.3,69,0.484,0.789,2.2
553,Jaylin Williams,OKC,PF,22,47,5.9,5.6,2.6,0.5,0.6,3.3,16.7,16.4,9,0.439,0.767,0.7
554,Jeenathan Williams,HOU,SG,25,20,3.3,0.7,0.5,0.4,0.2,0,7.4,8.6,0,0.435,0.625,0.7
555,Kenrich Williams,OKC,PF,30,69,6.3,3.5,1.4,0.6,0.1,3.6,16.4,13.7,7,0.483,0.718,0.6
556,Mark Williams,CHO,C,23,44,15.3,10.2,2.5,0.7,1.2,4.7,26.6,23.9,41,0.604,0.804,1.6
557,Patrick Williams,CHI,PF,23,63,9,3.8,2,0.8,0.5,0.4,25,9,36,0.397,0.723,1.4
558,Robert Williams,POR,C,27,20,5.8,5.9,1.1,0.7,1.7,1.3,17.6,18.9,3,0.641,0.882,0.9
559,Vince Williams Jr.,MEM,SG,24,27,6.6,3.6,2,0.4,0.3,0.4,18.5,9.2,5,0.401,0.792,1.2
560,Ziaire Williams,BRK,SF,23,63,10,4.6,1.3,1,0.4,2.1,24.5,11.9,45,0.412,0.821,1.1
561,Zion Williamson,NOP,PF,24,30,24.6,7.2,5.3,1.2,0.9,2.5,28.6,27.3,30,0.567,0.656,3
562,Jalen Wilson,BRK,PF,24,79,9.5,3.4,1.8,0.5,0.1,1.9,25.7,9.5,22,0.397,0.818,1
563,James Wiseman,IND,C,23,1,6,1,0,0,0,0,5,31.2,0,0.5,1,0
564,Isaiah Wong,CHO,SG,24,20,6,1.6,1.4,0.6,0,0.1,13.3,10.9,0,0.39,0.735,0.9
565,Delon Wright,2TM,PG,32,40,3.1,1.7,1.9,0.9,0.3,0.7,15.9,9.2,7,0.344,0.6,0.6
566,Guerschon Yabusele,PHI,C,29,70,11,5.6,2.1,0.8,0.3,3.9,27.1,14.7,43,0.501,0.725,1.2
567,Jahmir Young,CHI,PG,24,6,1.8,0.5,1,0,0,0.1,5,16.8,0,0.8,1,0.2
568,Trae Young,ATL,PG,26,76,24.2,3.1,11.6,1.2,0.2,5.7,36,18.3,76,0.411,0.875,4.7
569,Ivica Zubac,LAC,C,27,80,16.8,12.6,2.7,0.7,1.1,11.7,32.8,22.3,80,0.628,0.661,1.6